Fichier;Numéro de ligne;Contenu de la ligne;Criticité;Problème rencontré
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/mainwindow.cpp;42;nullptr!=ui;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/mainwindow.cpp;47;nullptr!=m_accoladeRuleDialog;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/mainwindow.cpp;52;nullptr!=m_camelCaseRuleDialog;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/mainwindow.cpp;57;nullptr!=m_conditionsRuleDialog;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/mainwindow.cpp;62;nullptr!=m_hFileRuleDialog;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/mainwindow.cpp;67;nullptr!=m_magicNumberRuleDialog;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/mainwindow.cpp;72;nullptr!=m_orphanFunctionsRuleDialog;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/mainwindow.cpp;77;nullptr!=m_pointerRuleDialog;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/mainwindow.cpp;82;nullptr!=m_todoRuleDialog;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/mainwindow.cpp;87;nullptr!=m_ruleChoiceDialog;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/mainwindow.cpp;92;nullptr!=m_toolParameterDialog;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/mainwindow.cpp;106;nullptr!=p_mainWindow;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/mainwindow.cpp;114;nullptr!=ui;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/mainwindow.cpp;140;nullptr!=ui;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/mainwindow.cpp;203;nullptr!=ui;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/mainwindow.cpp;302;nullptr!=ui;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/mainwindow.cpp;332;nullptr!=ui;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/mainwindow.cpp;358;nullptr!=ui;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/mainwindow.cpp;379;nullptr!=ui;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/mainwindow.cpp;424;nullptr!=ui;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/mainwindow.cpp;461;nullptr!=m_mergedReport;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/mainwindow.cpp;494;nullptr!=m_ruleChoiceDialog;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/mainwindow.cpp;494;nullptr!=ui;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/mainwindow.cpp;502;nullptr!=l_hVerifFile;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/mainwindow.cpp;534;nullptr!=l_cVerifFile;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/mainwindow.cpp;569;nullptr!=l_cppVerifFile;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/mainwindow.cpp;599;nullptr!=l_javaVerifFile;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/mainwindow.cpp;615;nullptr!=l_iniVerifFile;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/mainwindow.cpp;710;nullptr!=ui;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/mainwindow.cpp;738;nullptr!=ui;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/mainwindow.cpp;778;nullptr!=m_accoladeRuleDialog;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/mainwindow.cpp;801;nullptr!=m_camelCaseRuleDialog;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/mainwindow.cpp;824;nullptr!=m_magicNumberRuleDialog;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/mainwindow.cpp;847;nullptr!=m_todoRuleDialog;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/mainwindow.cpp;870;nullptr!=m_pointerRuleDialog;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/mainwindow.cpp;893;nullptr!=m_hFileRuleDialog;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/mainwindow.cpp;963;nullptr!=ui;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/mainwindow.cpp;983;nullptr!=ui;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/mainwindow.cpp;983;nullptr!=m_toolParameterDialog;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/mainwindow.cpp;1000;nullptr!=ui;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/mainwindow.cpp;1000;nullptr!=m_toolParameterDialog;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/mainwindow.cpp;1018;nullptr!=l_aboutDialog;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/mainwindow.cpp;1030;nullptr!=ui;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/mainwindow.cpp;1052;nullptr!=m_toolParameterDialog;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/mainwindow.cpp;1084;nullptr!=m_ruleChoiceDialog;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/mainwindow.cpp;1108;nullptr!=ui;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/mainwindow.cpp;1120;nullptr!=m_toolParameterDialog;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/mainwindow.cpp;1129;nullptr!=m_ruleChoiceDialog;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/mainwindow.cpp;1183;nullptr!=m_ruleChoiceDialog;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/mainwindow.cpp;1199;nullptr!=m_toolParameterDialog;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/mainwindow.cpp;1215;nullptr!=m_toolParameterDialog;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/mainwindow.cpp;1265;nullptr!=ui;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/mainwindow.cpp;1289;nullptr!=ui;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/mainwindow.cpp;1310;nullptr!=ui;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/mainwindow.cpp;1329;nullptr!=ui;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/mainwindow.cpp;1343;nullptr!=ui;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/rulechoicedialog.cpp;20;nullptr!=ui;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/rulechoicedialog.cpp;35;nullptr!=p_widget;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/rulechoicedialog.cpp;41;nullptr!=ui;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/rulechoicedialog.cpp;62;nullptr!=ui;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/rulechoicedialog.cpp;78;nullptr!=ui;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/rulechoicedialog.cpp;111;nullptr!=ui;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/rulechoicedialog.cpp;130;nullptr!=ui;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/rulechoicedialog.cpp;151;nullptr!=ui;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/rulechoicedialog.cpp;168;nullptr!=ui;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/rulechoicedialog.cpp;186;nullptr!=ui;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/rulechoicedialog.cpp;195;nullptr!=ui;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/rulechoicedialog.cpp;204;nullptr!=ui;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/rulechoicedialog.cpp;213;nullptr!=ui;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/rulechoicedialog.cpp;222;nullptr!=ui;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/rulechoicedialog.cpp;231;nullptr!=ui;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/rulechoicedialog.cpp;240;nullptr!=ui;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/rulechoicedialog.cpp;249;nullptr!=ui;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/rulechoicedialog.cpp;258;nullptr!=ui;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/rulechoicedialog.cpp;267;nullptr!=ui;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/rulechoicedialog.cpp;276;nullptr!=ui;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/rulechoicedialog.cpp;285;nullptr!=ui;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/rulechoicedialog.cpp;294;nullptr!=ui;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/rulechoicedialog.cpp;303;nullptr!=ui;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/rulechoicedialog.cpp;312;nullptr!=ui;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/rulechoicedialog.cpp;321;nullptr!=ui;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/rulechoicedialog.cpp;330;nullptr!=ui;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/rulechoicedialog.cpp;339;nullptr!=ui;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/ruledialog.cpp;28;nullptr!=ui;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/ruledialog.cpp;43;nullptr!=p_widget;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/ruledialog.cpp;49;nullptr!=ui;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/ruledialog.cpp;70;nullptr!=ui;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/ruledialog.cpp;86;nullptr!=ui;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/ruledialog.cpp;115;nullptr!=ui;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/ruledialog.cpp;134;nullptr!=ui;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/ruledialog.cpp;148;nullptr!=ui;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/utils.cpp;199;NB_MIN_ELTS<=l_list.size;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/utils.cpp;288;NB_MIN_ELTS<=l_rightValue.size;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/utils.cpp;293;NB_MIN_ELTS<=l_rightValue.size;Mineur;Attention vous assigner peut-être une variable dans une instruction.
